team_a,team_b,team_a_score,team_b_score,neutral,result,year
Iran,Angola,1.0,0.0,True,0,2011
Iraq,China,2.0,3.0,True,2,2011
Jordan,Uzbekistan,2.0,2.0,True,1,2011
Saudi Arabia,Angola,0.0,0.0,False,1,2011
Egypt,Tanzania,5.0,1.0,False,0,2011
United Arab Emirates,Australia,0.0,0.0,False,1,2011
Qatar,Uzbekistan,0.0,2.0,False,2,2011
DR Congo,Kenya,1.0,0.0,True,0,2011
Egypt,Uganda,1.0,0.0,False,0,2011
Japan,Jordan,1.0,1.0,True,1,2011
Saudi Arabia,Syria,1.0,2.0,True,2,2011
India,Australia,0.0,4.0,True,2,2011
South Korea,Bahrain,2.0,1.0,True,0,2011
DR Congo,Sudan,2.0,1.0,True,0,2011
Egypt,Burundi,3.0,0.0,False,0,2011
Iraq,Iran,1.0,2.0,True,2,2011
Qatar,China,2.0,0.0,False,0,2011
Uzbekistan,Kuwait,2.0,1.0,True,0,2011
Jordan,Saudi Arabia,1.0,0.0,True,0,2011
Syria,Japan,1.0,2.0,True,2,2011
Australia,South Korea,1.0,1.0,True,1,2011
DR Congo,Uganda,0.0,1.0,True,2,2011
Egypt,Kenya,5.0,1.0,False,0,2011
Panama,Belize,2.0,0.0,False,0,2011
Iran,North Korea,1.0,0.0,True,0,2011
United Arab Emirates,Iraq,0.0,1.0,True,2,2011
China,Uzbekistan,2.0,2.0,True,1,2011
Panama,Nicaragua,2.0,0.0,False,0,2011
Qatar,Kuwait,3.0,0.0,False,0,2011
DR Congo,Kenya,1.0,0.0,True,0,2011
Egypt,Uganda,3.0,1.0,False,0,2011
Jordan,Syria,2.0,1.0,True,0,2011
Saudi Arabia,Japan,0.0,5.0,True,2,2011
Australia,Bahrain,1.0,0.0,True,0,2011
South Korea,India,4.0,1.0,True,0,2011
Panama,El Salvador,2.0,0.0,False,0,2011
Botswana,Sweden,1.0,2.0,True,2,2011
Iraq,North Korea,1.0,0.0,True,0,2011
United Arab Emirates,Iran,0.0,3.0,True,2,2011
Panama,Costa Rica,1.0,1.0,False,1,2011
Qatar,Japan,2.0,3.0,False,2,2011
Uzbekistan,Jordan,2.0,1.0,True,0,2011
Australia,Iraq,1.0,0.0,True,0,2011
Iran,South Korea,0.0,1.0,True,2,2011
United States,Chile,1.0,1.0,False,1,2011
Panama,El Salvador,0.0,0.0,False,1,2011
Japan,South Korea,2.0,2.0,True,1,2011
Uzbekistan,Australia,0.0,6.0,True,2,2011
Uzbekistan,South Korea,2.0,3.0,True,2,2011
Australia,Japan,0.0,1.0,True,2,2011
Cyprus,Sweden,0.0,2.0,False,2,2011
Ghana,Togo,4.0,1.0,True,0,2011
Mali,Ivory Coast,0.0,1.0,True,2,2011
Peru,Panama,1.0,0.0,False,0,2011
Argentina,Portugal,2.0,1.0,True,0,2011
Belgium,Finland,1.0,1.0,False,1,2011
Cape Verde,Burkina Faso,1.0,0.0,True,0,2011
DR Congo,Gabon,0.0,2.0,True,2,2011
Croatia,Czech Republic,4.0,2.0,False,0,2011
Denmark,England,1.0,2.0,False,2,2011
El Salvador,Haiti,1.0,0.0,False,0,2011
France,Brazil,1.0,0.0,False,0,2011
Germany,Italy,1.0,1.0,False,1,2011
Greece,Canada,1.0,0.0,False,0,2011
Honduras,Ecuador,1.0,1.0,False,1,2011
Iran,Russia,1.0,0.0,True,0,2011
Malta,Switzerland,0.0,0.0,False,1,2011
Mexico,Bosnia and Herzegovina,2.0,0.0,True,0,2011
Morocco,Niger,3.0,0.0,False,0,2011
Netherlands,Austria,3.0,1.0,False,0,2011
Norway,Poland,0.0,1.0,True,2,2011
Scotland,Northern Ireland,3.0,0.0,True,0,2011
Senegal,Guinea,3.0,0.0,False,0,2011
South Africa,Kenya,2.0,0.0,False,0,2011
Spain,Colombia,1.0,0.0,False,0,2011
Sweden,Ukraine,1.0,1.0,True,1,2011
Turkey,South Korea,0.0,0.0,False,1,2011
Argentina,Venezuela,4.0,1.0,False,0,2011
Austria,Belgium,0.0,2.0,False,2,2011
